epoch,lr-AdamW,step,train_giou,train_loss,val_giou,val_loss
,0.0001,0,,,,
0,,499,,,-0.6184167265892029,47.615562438964844
0,,499,-0.03266318514943123,24.88871955871582,,
,0.0001,500,,,,
1,,999,,,-0.5471639633178711,47.284690856933594
1,,999,0.04125729203224182,21.46424674987793,,
,0.0001,1000,,,,
2,,1499,,,-0.5342002511024475,46.345664978027344
2,,1499,0.049500972032547,21.051010131835938,,
,0.0001,1500,,,,
3,,1999,,,-0.5397038459777832,45.80278778076172
3,,1999,0.05828996002674103,20.885047912597656,,
,0.0001,2000,,,,
4,,2499,,,-0.6463569402694702,45.03583908081055
4,,2499,0.0658552348613739,20.75819969177246,,
,0.0001,2500,,,,
5,,2999,,,-0.49885663390159607,44.045570373535156
5,,2999,0.06432483345270157,20.66996955871582,,
,0.0001,3000,,,,
6,,3499,,,-0.5039696097373962,44.27338790893555
6,,3499,0.07273949682712555,20.485822677612305,,
,0.0001,3500,,,,
7,,3999,,,-0.5060194134712219,41.259735107421875
7,,3999,0.08279074728488922,20.298559188842773,,
,0.0001,4000,,,,
8,,4499,,,-0.462889164686203,41.388877868652344
8,,4499,0.09946325421333313,20.027055740356445,,
